,gaya,resultan gaya,kesetimbangan,hk 1 newton,percepatan,percepatan gravitasi,massa dan inertia,berat,hk 2 newton,gaya normal,gesekan,tegangan tali,aksi reaksi,hk 3 newton
gaya,0.07142857143,0.166400223,0.1977825066,0.2237492609,0.245486148,0.2638428881,0.2795487793,0.2927980231,0.3040469135,0.3135822336,0.3216860069,0.3285689752,0.3344199396,0.3393921838
resultan gaya,0.07142857143,0.1539050558,0.1605246526,0.1653699069,0.1697608748,0.1734395188,0.1765991574,0.1793081049,0.1816273552,0.1835992034,0.185278633,0.1867055823,0.187919191,0.1889505269
kesetimbangan,0.07142857143,0.1937447588,0.2538434393,0.2732905808,0.2853555952,0.2949697876,0.3026581947,0.3091948601,0.3147240932,0.3194226568,0.3234116339,0.3268021181,0.3296829076,0.3321316549
hk 1 newton,0.07142857143,0.1770329221,0.2188859942,0.2419370437,0.2596741405,0.2733991219,0.2850154055,0.2948415785,0.3031886967,0.3102800352,0.3163064177,0.3214278841,0.3257808989,0.3294807497
percepatan,0.07142857143,0.2439288538,0.4452892193,0.6326407942,0.7896336005,0.9250940629,1.041296323,1.141170733,1.226115884,1.29855335,1.360096926,1.4124574,1.456950356,1.49478066
percepatan gravitasi,0.07142857143,0.1889663988,0.2678490189,0.3291399329,0.3664782167,0.390343104,0.4071675854,0.4202059232,0.4307414297,0.4395508699,0.4469590734,0.4532424084,0.458570168,0.4630982231
massa dan inertia,0.07142857143,0.2046675377,0.2925938859,0.3323803311,0.3484906878,0.3596550605,0.3684123284,0.3756334515,0.3817558284,0.3869466568,0.3913570517,0.3951034193,0.3982874433,0.4009933079
berat,0.07142857143,0.2780235555,0.5022506334,0.6574956409,0.7688711057,0.8457299908,0.9041442685,0.950728558,0.9894242686,1.02184348,1.049315748,1.072591059,1.092371854,1.10917125
hk 2 newton,0.07142857143,0.2377525238,0.4276885914,0.608118555,0.762797829,0.8972553264,1.011426868,1.10888562,1.19168417,1.262120481,1.321974339,1.372862882,1.41611275,1.452878412
gaya normal,0.07142857143,0.1736330496,0.2239582941,0.2693550257,0.3046162685,0.3319863478,0.3531119675,0.3701488323,0.3842562988,0.3961267278,0.4061581004,0.4146726728,0.4219008117,0.4280439729
gesekan,0.07142857143,0.1874108388,0.2462508389,0.2802376238,0.3079394343,0.3303766715,0.3486643906,0.3637420759,0.3763869286,0.3870616209,0.3961111849,0.4037924885,0.4103188321,0.4158645791
tegangan tali,0.07142857143,0.3154743036,0.6446223261,0.9565600352,1.252229219,1.512476601,1.739992184,1.93462809,2.101171117,2.242795304,2.363375961,2.465850069,2.55299426,2.627056849
aksi reaksi,0.07142857143,0.2129653437,0.3869839296,0.5889689252,0.7750565933,0.950854973,1.102973973,1.235775116,1.348763953,1.445460183,1.527570384,1.597502845,1.656907768,1.707434767
hk 3 newton,0.07142857143,0.216094635,0.3389766697,0.4571313438,0.5775290365,0.6824074835,0.7760448707,0.8554368863,0.9237362378,0.9816368962,1.031031284,1.072958027,1.108639977,1.138951448
